	MC: BLCA	MC: BRCA	MC: CESC	MC: COAD	MC: ESCA	MC: HNSC	MC: KIRC	MC: KIRP	MC: LIHC	MC: LUAD	MC: LUSC	MC: PRAD	MC: READ	MC: STAD	MC: THCA	MC: UCEC	MS: BLCA	MS: BRCA	MS: CESC	MS: COAD	MS: ESCA	MS: HNSC	MS: KIRC	MS: KIRP	MS: LIHC	MS: LUAD	MS: LUSC	MS: PRAD	MS: READ	MS: STAD	MS: THCA	MS: UCEC
LRRK2	37.0	19.0	14.0	64.0	14.0	29.0	7.0	5.0	12.0	29.0	66.0	4.0	16.0	67.0	3.0	195.0	34.0	17.0	13.0	44.0	14.0	26.0	6.0	4.0	11.0	25.0	61.0	4.0	11.0	60.0	3.0	77.0
SPTA1	34.0	49.0	15.0	68.0	20.0	29.0	9.0	5.0	26.0	160.0	122.0	21.0	21.0	95.0	7.0	175.0	34.0	46.0	15.0	51.0	18.0	27.0	9.0	5.0	23.0	123.0	93.0	19.0	15.0	74.0	7.0	81.0
ALMS1	45.0	23.0	14.0	43.0	5.0	22.0	7.0	5.0	13.0	41.0	53.0	4.0	19.0	46.0	0.0	135.0	33.0	19.0	14.0	31.0	5.0	20.0	7.0	3.0	10.0	34.0	46.0	4.0	10.0	35.0	0.0	67.0
ANK3	40.0	32.0	24.0	82.0	9.0	28.0	14.0	9.0	7.0	35.0	34.0	7.0	16.0	66.0	0.0	192.0	33.0	24.0	17.0	54.0	9.0	20.0	14.0	9.0	7.0	33.0	32.0	7.0	9.0	51.0	0.0	83.0
USH2A	40.0	54.0	36.0	104.0	16.0	72.0	14.0	13.0	26.0	259.0	206.0	16.0	26.0	74.0	3.0	306.0	33.0	51.0	29.0	70.0	15.0	58.0	14.0	13.0	23.0	166.0	155.0	13.0	13.0	57.0	3.0	96.0
RNF213	37.0	17.0	17.0	52.0	6.0	28.0	4.0	4.0	9.0	24.0	36.0	11.0	15.0	62.0	0.0	165.0	33.0	16.0	10.0	44.0	6.0	26.0	4.0	4.0	8.0	22.0	31.0	7.0	10.0	47.0	0.0	70.0
TRRAP	37.0	14.0	19.0	49.0	13.0	21.0	2.0	0.0	7.0	45.0	29.0	5.0	9.0	57.0	0.0	171.0	33.0	14.0	13.0	37.0	12.0	20.0	2.0	0.0	7.0	39.0	28.0	4.0	7.0	49.0	0.0	81.0
MED13	36.0	22.0	13.0	28.0	5.0	10.0	8.0	6.0	9.0	15.0	13.0	7.0	10.0	21.0	0.0	104.0	33.0	15.0	8.0	23.0	5.0	10.0	8.0	6.0	8.0	13.0	13.0	7.0	6.0	18.0	0.0	58.0
FGFR3	34.0	0.0	0.0	6.0	0.0	9.0	1.0	0.0	1.0	1.0	6.0	0.0	0.0	4.0	0.0	6.0	33.0	0.0	0.0	6.0	0.0	9.0	1.0	0.0	1.0	1.0	6.0	0.0	0.0	4.0	0.0	5.0
PCDH15	34.0	22.0	15.0	76.0	20.0	44.0	12.0	4.0	20.0	143.0	113.0	10.0	18.0	69.0	2.0	212.0	33.0	19.0	14.0	58.0	18.0	40.0	10.0	4.0	20.0	100.0	91.0	8.0	8.0	63.0	2.0	78.0
TCHH	42.0	26.0	19.0	40.0	9.0	14.0	1.0	2.0	7.0	34.0	27.0	1.0	5.0	46.0	0.0	65.0	32.0	22.0	14.0	29.0	8.0	12.0	1.0	2.0	7.0	33.0	22.0	1.0	5.0	41.0	0.0	46.0
DIDO1	37.0	13.0	15.0	42.0	9.0	22.0	1.0	3.0	9.0	37.0	20.0	5.0	5.0	43.0	1.0	97.0	32.0	12.0	12.0	31.0	9.0	18.0	1.0	3.0	9.0	35.0	20.0	5.0	4.0	40.0	1.0	60.0
DMD	36.0	57.0	38.0	83.0	12.0	49.0	6.0	4.0	21.0	112.0	70.0	5.0	23.0	78.0	1.0	322.0	32.0	44.0	35.0	57.0	11.0	44.0	6.0	4.0	21.0	80.0	58.0	5.0	12.0	61.0	1.0	96.0
HERC1	36.0	30.0	18.0	49.0	7.0	23.0	6.0	10.0	12.0	28.0	36.0	4.0	16.0	46.0	1.0	154.0	32.0	24.0	12.0	34.0	7.0	21.0	6.0	9.0	10.0	26.0	33.0	2.0	5.0	33.0	1.0	69.0
ASXL2	35.0	15.0	9.0	22.0	5.0	6.0	5.0	1.0	4.0	14.0	15.0	3.0	5.0	14.0	0.0	60.0	32.0	14.0	8.0	18.0	5.0	6.0	5.0	1.0	4.0	14.0	15.0	3.0	5.0	13.0	0.0	44.0
TRIO	35.0	14.0	12.0	49.0	3.0	16.0	4.0	5.0	4.0	31.0	25.0	7.0	2.0	56.0	2.0	135.0	32.0	13.0	9.0	38.0	3.0	14.0	3.0	5.0	4.0	28.0	24.0	6.0	2.0	45.0	2.0	76.0
PKHD1L1	34.0	42.0	19.0	57.0	18.0	55.0	12.0	3.0	22.0	86.0	96.0	8.0	19.0	38.0	0.0	185.0	32.0	36.0	16.0	36.0	15.0	47.0	12.0	3.0	19.0	69.0	83.0	7.0	8.0	33.0	0.0	79.0
RELN	34.0	34.0	14.0	58.0	9.0	45.0	7.0	4.0	11.0	90.0	100.0	9.0	23.0	54.0	2.0	175.0	32.0	31.0	11.0	43.0	9.0	42.0	7.0	4.0	11.0	75.0	76.0	5.0	11.0	46.0	2.0	68.0
APOB	33.0	40.0	19.0	70.0	15.0	43.0	6.0	6.0	33.0	125.0	81.0	7.0	23.0	62.0	2.0	220.0	32.0	35.0	16.0	40.0	12.0	40.0	6.0	6.0	31.0	100.0	73.0	6.0	11.0	46.0	2.0	82.0
KIAA1109	36.0	33.0	19.0	81.0	8.0	24.0	5.0	16.0	18.0	58.0	52.0	4.0	20.0	66.0	2.0	217.0	31.0	27.0	14.0	55.0	8.0	23.0	5.0	15.0	16.0	53.0	47.0	3.0	8.0	46.0	2.0	78.0
FBXW7	35.0	14.0	36.0	82.0	11.0	36.0	0.0	1.0	2.0	12.0	25.0	0.0	32.0	37.0	1.0	112.0	31.0	14.0	34.0	71.0	9.0	34.0	0.0	1.0	2.0	11.0	25.0	0.0	26.0	36.0	1.0	94.0
FLG2	34.0	22.0	16.0	28.0	8.0	13.0	7.0	1.0	9.0	85.0	41.0	7.0	11.0	35.0	2.0	55.0	31.0	21.0	14.0	22.0	7.0	12.0	6.0	1.0	8.0	74.0	38.0	6.0	5.0	34.0	2.0	37.0
VPS13D	34.0	23.0	19.0	37.0	6.0	27.0	5.0	4.0	4.0	32.0	36.0	12.0	10.0	40.0	1.0	153.0	31.0	20.0	13.0	27.0	6.0	27.0	5.0	4.0	4.0	26.0	34.0	7.0	6.0	35.0	1.0	72.0
WDFY3	34.0	19.0	13.0	42.0	6.0	21.0	8.0	13.0	10.0	49.0	36.0	8.0	9.0	50.0	1.0	141.0	31.0	17.0	11.0	28.0	6.0	18.0	8.0	12.0	10.0	47.0	34.0	5.0	6.0	39.0	1.0	71.0
