	MC: BLCA	MC: BRCA	MC: CESC	MC: COAD	MC: ESCA	MC: HNSC	MC: KIRC	MC: KIRP	MC: LIHC	MC: LUAD	MC: LUSC	MC: PRAD	MC: READ	MC: STAD	MC: THCA	MC: UCEC	MS: BLCA	MS: BRCA	MS: CESC	MS: COAD	MS: ESCA	MS: HNSC	MS: KIRC	MS: KIRP	MS: LIHC	MS: LUAD	MS: LUSC	MS: PRAD	MS: READ	MS: STAD	MS: THCA	MS: UCEC
RPL13A	0.0	3.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	1.0	10.0	0.0	3.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	1.0	10.0
RS1	0.0	3.0	4.0	4.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	13.0	0.0	3.0	4.0	4.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	12.0
SAV1	0.0	3.0	1.0	1.0	1.0	2.0	1.0	7.0	2.0	4.0	1.0	1.0	1.0	1.0	0.0	12.0	0.0	3.0	1.0	1.0	1.0	2.0	1.0	7.0	2.0	4.0	1.0	1.0	1.0	1.0	0.0	11.0
SEPTIN5	0.0	3.0	2.0	5.0	0.0	1.0	2.0	0.0	0.0	4.0	4.0	1.0	0.0	2.0	1.0	20.0	0.0	3.0	2.0	5.0	0.0	1.0	2.0	0.0	0.0	4.0	4.0	1.0	0.0	2.0	1.0	18.0
SERPINB12	0.0	3.0	2.0	7.0	0.0	3.0	1.0	0.0	0.0	12.0	7.0	1.0	2.0	7.0	0.0	24.0	0.0	3.0	2.0	7.0	0.0	3.0	1.0	0.0	0.0	12.0	7.0	1.0	2.0	7.0	0.0	22.0
SERPINF2	0.0	3.0	3.0	7.0	0.0	0.0	2.0	0.0	1.0	2.0	5.0	1.0	0.0	9.0	0.0	11.0	0.0	3.0	3.0	6.0	0.0	0.0	2.0	0.0	1.0	2.0	5.0	1.0	0.0	9.0	0.0	10.0
SHISA4	0.0	3.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	10.0	0.0	3.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	9.0
SHISAL1	0.0	3.0	2.0	7.0	1.0	3.0	0.0	0.0	0.0	5.0	1.0	2.0	0.0	5.0	0.0	7.0	0.0	3.0	2.0	7.0	1.0	2.0	0.0	0.0	0.0	5.0	1.0	2.0	0.0	5.0	0.0	7.0
SLC25A10	0.0	3.0	0.0	4.0	0.0	1.0	0.0	0.0	2.0	2.0	3.0	0.0	0.0	1.0	1.0	13.0	0.0	3.0	0.0	4.0	0.0	1.0	0.0	0.0	2.0	2.0	3.0	0.0	0.0	1.0	1.0	12.0
SLC25A53	0.0	3.0	2.0	4.0	0.0	1.0	1.0	1.0	0.0	5.0	3.0	2.0	3.0	2.0	0.0	16.0	0.0	3.0	2.0	4.0	0.0	1.0	1.0	1.0	0.0	5.0	3.0	2.0	3.0	2.0	0.0	12.0
SLC35A2	0.0	3.0	3.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	3.0	0.0	27.0	0.0	3.0	3.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	3.0	0.0	25.0
SLC37A4	0.0	3.0	3.0	7.0	0.0	2.0	3.0	2.0	1.0	1.0	1.0	3.0	0.0	2.0	0.0	14.0	0.0	3.0	3.0	7.0	0.0	2.0	3.0	2.0	1.0	1.0	1.0	3.0	0.0	1.0	0.0	13.0
SLC38A5	0.0	3.0	3.0	2.0	1.0	3.0	0.0	1.0	1.0	5.0	4.0	0.0	0.0	1.0	0.0	29.0	0.0	3.0	3.0	2.0	1.0	3.0	0.0	1.0	1.0	4.0	4.0	0.0	0.0	1.0	0.0	24.0
SLC51B	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0
SPRR2B	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0	2.0	0.0	0.0	1.0	0.0	3.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0	2.0	0.0	0.0	1.0	0.0	3.0
SRPX2	0.0	3.0	3.0	5.0	0.0	2.0	0.0	0.0	0.0	7.0	6.0	1.0	1.0	5.0	1.0	31.0	0.0	3.0	3.0	5.0	0.0	2.0	0.0	0.0	0.0	7.0	6.0	1.0	1.0	5.0	1.0	22.0
ST6GALNAC2	0.0	3.0	3.0	8.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	3.0	3.0	7.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
STX17	0.0	3.0	0.0	1.0	3.0	4.0	0.0	1.0	0.0	3.0	1.0	0.0	1.0	4.0	0.0	10.0	0.0	3.0	0.0	1.0	3.0	4.0	0.0	1.0	0.0	3.0	1.0	0.0	1.0	4.0	0.0	10.0
SYNE4	0.0	3.0	0.0	8.0	0.0	2.0	1.0	0.0	1.0	2.0	3.0	0.0	0.0	3.0	0.0	13.0	0.0	3.0	0.0	8.0	0.0	2.0	1.0	0.0	1.0	2.0	3.0	0.0	0.0	3.0	0.0	12.0
TBC1D24	0.0	3.0	1.0	10.0	0.0	4.0	3.0	0.0	0.0	4.0	1.0	1.0	0.0	5.0	0.0	20.0	0.0	3.0	1.0	8.0	0.0	3.0	3.0	0.0	0.0	4.0	1.0	1.0	0.0	5.0	0.0	18.0
TCEA1	0.0	3.0	3.0	6.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	2.0	3.0	0.0	19.0	0.0	3.0	3.0	6.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	3.0	0.0	16.0
TEX35	0.0	3.0	2.0	3.0	0.0	1.0	0.0	1.0	4.0	8.0	5.0	0.0	1.0	4.0	0.0	22.0	0.0	3.0	2.0	3.0	0.0	1.0	0.0	1.0	4.0	8.0	5.0	0.0	1.0	4.0	0.0	19.0
TFPI	0.0	3.0	3.0	7.0	2.0	2.0	1.0	0.0	0.0	3.0	1.0	0.0	4.0	7.0	0.0	28.0	0.0	3.0	2.0	7.0	2.0	2.0	1.0	0.0	0.0	3.0	1.0	0.0	2.0	7.0	0.0	25.0
TMEM106B	0.0	3.0	2.0	3.0	1.0	3.0	0.0	1.0	1.0	1.0	5.0	1.0	2.0	5.0	0.0	14.0	0.0	3.0	2.0	3.0	1.0	3.0	0.0	1.0	1.0	1.0	5.0	1.0	2.0	5.0	0.0	12.0
TMEM161A	0.0	3.0	1.0	5.0	1.0	2.0	0.0	0.0	3.0	1.0	2.0	2.0	0.0	7.0	0.0	19.0	0.0	3.0	1.0	5.0	1.0	2.0	0.0	0.0	3.0	1.0	2.0	2.0	0.0	7.0	0.0	18.0
TRAF1	0.0	3.0	1.0	7.0	2.0	0.0	0.0	0.0	1.0	3.0	4.0	0.0	2.0	6.0	0.0	7.0	0.0	3.0	1.0	6.0	2.0	0.0	0.0	0.0	1.0	3.0	4.0	0.0	2.0	6.0	0.0	7.0
TRBV5-1	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	1.0	3.0	0.0	10.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	1.0	3.0	0.0	10.0
TRDC	0.0	3.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	4.0
TRIB1	0.0	3.0	1.0	6.0	1.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	2.0	4.0	0.0	22.0	0.0	3.0	1.0	6.0	1.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	2.0	4.0	0.0	18.0
TRIM65	0.0	3.0	3.0	6.0	0.0	0.0	1.0	2.0	3.0	2.0	1.0	0.0	0.0	3.0	0.0	12.0	0.0	3.0	3.0	6.0	0.0	0.0	1.0	2.0	3.0	2.0	1.0	0.0	0.0	3.0	0.0	11.0
TTC9C	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	6.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	6.0
TTPA	0.0	3.0	0.0	2.0	2.0	3.0	0.0	0.0	1.0	3.0	13.0	0.0	2.0	5.0	1.0	15.0	0.0	3.0	0.0	2.0	2.0	3.0	0.0	0.0	1.0	3.0	13.0	0.0	2.0	5.0	1.0	13.0
TVP23C	0.0	3.0	1.0	2.0	0.0	0.0	1.0	0.0	3.0	3.0	1.0	1.0	0.0	2.0	0.0	9.0	0.0	3.0	1.0	2.0	0.0	0.0	1.0	0.0	3.0	3.0	1.0	1.0	0.0	2.0	0.0	8.0
UBAC2	0.0	3.0	0.0	4.0	2.0	2.0	2.0	1.0	1.0	2.0	3.0	0.0	1.0	2.0	0.0	7.0	0.0	3.0	0.0	4.0	2.0	2.0	2.0	1.0	1.0	2.0	3.0	0.0	1.0	2.0	0.0	6.0
UBE2D2	0.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0
UCK2	0.0	3.0	1.0	3.0	1.0	5.0	1.0	0.0	1.0	11.0	3.0	1.0	0.0	1.0	0.0	23.0	0.0	3.0	1.0	3.0	1.0	5.0	1.0	0.0	1.0	11.0	3.0	1.0	0.0	1.0	0.0	21.0
UNC50	0.0	3.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	3.0	0.0	9.0	0.0	3.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	3.0	0.0	9.0
UNKL	0.0	3.0	0.0	8.0	1.0	2.0	1.0	2.0	2.0	3.0	1.0	0.0	2.0	1.0	0.0	16.0	0.0	3.0	0.0	8.0	1.0	2.0	1.0	2.0	2.0	3.0	1.0	0.0	2.0	1.0	0.0	16.0
VCX	0.0	3.0	2.0	2.0	0.0	1.0	0.0	0.0	3.0	7.0	5.0	0.0	0.0	4.0	0.0	10.0	0.0	3.0	2.0	2.0	0.0	1.0	0.0	0.0	3.0	7.0	5.0	0.0	0.0	4.0	0.0	9.0
WDFY2	0.0	3.0	1.0	5.0	1.0	1.0	0.0	0.0	1.0	3.0	1.0	0.0	3.0	3.0	1.0	21.0	0.0	3.0	1.0	5.0	1.0	1.0	0.0	0.0	1.0	3.0	1.0	0.0	3.0	3.0	1.0	18.0
XCL1	0.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	5.0	3.0	1.0	0.0	1.0	0.0	6.0	0.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	5.0	2.0	1.0	0.0	1.0	0.0	5.0
ZBTB14	0.0	3.0	5.0	7.0	1.0	1.0	1.0	0.0	3.0	11.0	4.0	0.0	0.0	11.0	0.0	31.0	0.0	3.0	4.0	7.0	1.0	1.0	1.0	0.0	3.0	11.0	4.0	0.0	0.0	11.0	0.0	24.0
ZNF169	0.0	3.0	4.0	6.0	1.0	3.0	2.0	0.0	0.0	7.0	4.0	1.0	3.0	10.0	0.0	27.0	0.0	3.0	4.0	4.0	1.0	3.0	2.0	0.0	0.0	7.0	4.0	1.0	3.0	9.0	0.0	20.0
C17orf67	0.0	3.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
CGB2	0.0	3.0	2.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0
ECRG4	0.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	3.0	3.0	0.0	12.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	2.0	3.0	0.0	11.0
PRSS38	0.0	3.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0	14.0	2.0	0.0	3.0	5.0	1.0	23.0	0.0	2.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0	13.0	2.0	0.0	3.0	5.0	1.0	21.0
RNASEH2A	0.0	3.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	2.0	5.0	0.0	11.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	2.0	5.0	0.0	11.0
SLC22A5	0.0	3.0	3.0	5.0	2.0	2.0	1.0	1.0	1.0	2.0	3.0	3.0	0.0	2.0	0.0	16.0	0.0	2.0	3.0	5.0	2.0	2.0	1.0	1.0	1.0	2.0	3.0	1.0	0.0	2.0	0.0	15.0
SLC26A2	0.0	3.0	0.0	10.0	1.0	4.0	2.0	0.0	1.0	6.0	2.0	2.0	5.0	5.0	0.0	27.0	0.0	2.0	0.0	7.0	1.0	4.0	2.0	0.0	1.0	6.0	2.0	2.0	4.0	5.0	0.0	22.0
SUGCT	0.0	3.0	1.0	4.0	0.0	4.0	2.0	0.0	3.0	7.0	12.0	0.0	4.0	6.0	0.0	22.0	0.0	2.0	1.0	4.0	0.0	4.0	2.0	0.0	3.0	7.0	11.0	0.0	3.0	6.0	0.0	17.0
ABHD17A	0.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	18.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	14.0
ABRAXAS1	0.0	2.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	4.0	0.0	23.0	0.0	2.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	4.0	0.0	18.0
AC011455.2	0.0	2.0	3.0	5.0	1.0	0.0	0.0	0.0	2.0	4.0	2.0	0.0	0.0	8.0	0.0	14.0	0.0	2.0	3.0	5.0	1.0	0.0	0.0	0.0	2.0	4.0	2.0	0.0	0.0	7.0	0.0	13.0
AC011479.1	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0
AC093827.5	0.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	5.0
AC127029.3	0.0	2.0	0.0	5.0	1.0	1.0	0.0	0.0	2.0	4.0	4.0	2.0	2.0	2.0	0.0	8.0	0.0	2.0	0.0	5.0	1.0	1.0	0.0	0.0	2.0	4.0	4.0	2.0	2.0	2.0	0.0	8.0
AC132217.2	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	5.0
ACP7	0.0	2.0	2.0	12.0	0.0	2.0	1.0	0.0	1.0	8.0	5.0	0.0	2.0	5.0	0.0	19.0	0.0	2.0	2.0	12.0	0.0	2.0	1.0	0.0	1.0	8.0	4.0	0.0	2.0	5.0	0.0	16.0
ACYP1	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	5.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	5.0
ADM5	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
ADRB3	0.0	2.0	1.0	8.0	0.0	2.0	0.0	0.0	2.0	4.0	3.0	0.0	4.0	6.0	0.0	10.0	0.0	2.0	1.0	8.0	0.0	2.0	0.0	0.0	2.0	4.0	3.0	0.0	4.0	6.0	0.0	9.0
AHSP	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	3.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	1.0
AKR1B10	0.0	2.0	2.0	6.0	0.0	4.0	1.0	0.0	1.0	8.0	2.0	0.0	0.0	6.0	0.0	16.0	0.0	2.0	2.0	6.0	0.0	4.0	1.0	0.0	1.0	8.0	2.0	0.0	0.0	6.0	0.0	12.0
AL133500.1	0.0	2.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	13.0	0.0	2.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	11.0
AL162417.1	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	5.0
ALDH6A1	0.0	2.0	0.0	7.0	2.0	1.0	0.0	1.0	1.0	3.0	2.0	2.0	2.0	5.0	0.0	24.0	0.0	2.0	0.0	7.0	2.0	1.0	0.0	1.0	1.0	3.0	2.0	1.0	2.0	5.0	0.0	20.0
ALG3	0.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	5.0	2.0	0.0	0.0	3.0	1.0	16.0	0.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	5.0	2.0	0.0	0.0	3.0	1.0	14.0
ALKBH2	0.0	2.0	0.0	2.0	2.0	2.0	1.0	1.0	0.0	2.0	3.0	1.0	0.0	2.0	0.0	11.0	0.0	2.0	0.0	2.0	2.0	2.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	2.0	0.0	10.0
ALKBH7	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	4.0
AMBP	0.0	2.0	0.0	5.0	0.0	2.0	1.0	2.0	0.0	4.0	3.0	1.0	1.0	2.0	1.0	15.0	0.0	2.0	0.0	5.0	0.0	2.0	1.0	2.0	0.0	4.0	3.0	1.0	1.0	2.0	1.0	14.0
AMD1	0.0	2.0	5.0	4.0	1.0	2.0	2.0	2.0	0.0	2.0	2.0	1.0	4.0	7.0	0.0	17.0	0.0	2.0	5.0	3.0	1.0	2.0	2.0	2.0	0.0	2.0	2.0	1.0	3.0	7.0	0.0	15.0
ANXA8L1	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0
APOBEC3A	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0
ARF1	0.0	2.0	2.0	4.0	1.0	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	6.0	0.0	16.0	0.0	2.0	1.0	4.0	1.0	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	5.0	0.0	14.0
ARHGDIB	0.0	2.0	1.0	7.0	0.0	0.0	1.0	0.0	0.0	2.0	4.0	1.0	0.0	1.0	0.0	12.0	0.0	2.0	1.0	7.0	0.0	0.0	1.0	0.0	0.0	2.0	4.0	1.0	0.0	1.0	0.0	11.0
ARL1	0.0	2.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	1.0	0.0	8.0	0.0	2.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	8.0
ASB1	0.0	2.0	1.0	2.0	1.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	6.0	0.0	19.0	0.0	2.0	1.0	2.0	1.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	6.0	0.0	16.0
ASB10	0.0	2.0	5.0	2.0	0.0	3.0	1.0	0.0	5.0	6.0	1.0	0.0	0.0	8.0	1.0	14.0	0.0	2.0	5.0	2.0	0.0	3.0	1.0	0.0	5.0	6.0	1.0	0.0	0.0	8.0	1.0	12.0
ATF5	0.0	2.0	2.0	14.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	4.0	0.0	21.0	0.0	2.0	2.0	13.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	4.0	0.0	19.0
ATP5IF1	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0
BCL7C	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	16.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	14.0
BCS1L	0.0	2.0	3.0	4.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	6.0	0.0	13.0	0.0	2.0	3.0	4.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	6.0	0.0	13.0
BEX2	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	6.0
BEX4	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	12.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	11.0
BNIP2	0.0	2.0	1.0	4.0	1.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	2.0	0.0	5.0	0.0	2.0	1.0	4.0	1.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	2.0	0.0	4.0
BRMS1L	0.0	2.0	3.0	5.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	6.0	0.0	16.0	0.0	2.0	2.0	5.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	5.0	0.0	14.0
BTBD6	0.0	2.0	1.0	2.0	1.0	4.0	0.0	2.0	3.0	4.0	2.0	2.0	0.0	2.0	0.0	18.0	0.0	2.0	1.0	2.0	1.0	4.0	0.0	2.0	3.0	4.0	2.0	2.0	0.0	2.0	0.0	17.0
C11orf87	0.0	2.0	0.0	9.0	0.0	4.0	0.0	0.0	2.0	9.0	5.0	0.0	2.0	4.0	3.0	10.0	0.0	2.0	0.0	9.0	0.0	4.0	0.0	0.0	2.0	8.0	5.0	0.0	2.0	4.0	3.0	9.0
C16orf54	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	8.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	8.0
C16orf82	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	6.0	2.0	1.0	0.0	4.0	1.0	2.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	6.0	2.0	1.0	0.0	3.0	1.0	2.0
C1orf50	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	7.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	6.0
C20orf96	0.0	2.0	5.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	4.0	2.0	2.0	4.0	0.0	16.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	4.0	2.0	2.0	4.0	0.0	14.0
C2orf50	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
C2orf73	0.0	2.0	3.0	5.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0	18.0	0.0	2.0	3.0	5.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	16.0
C3orf33	0.0	2.0	0.0	4.0	1.0	2.0	1.0	0.0	2.0	1.0	4.0	0.0	3.0	6.0	0.0	14.0	0.0	2.0	0.0	3.0	1.0	2.0	1.0	0.0	2.0	1.0	4.0	0.0	2.0	6.0	0.0	13.0
C9orf135	0.0	2.0	1.0	5.0	2.0	8.0	0.0	0.0	2.0	3.0	3.0	0.0	1.0	2.0	0.0	15.0	0.0	2.0	1.0	5.0	2.0	8.0	0.0	0.0	2.0	3.0	3.0	0.0	1.0	2.0	0.0	15.0
CABCOCO1	0.0	2.0	1.0	3.0	0.0	2.0	1.0	0.0	1.0	2.0	4.0	0.0	0.0	4.0	0.0	8.0	0.0	2.0	1.0	3.0	0.0	2.0	1.0	0.0	1.0	2.0	4.0	0.0	0.0	4.0	0.0	8.0
CALB2	0.0	2.0	3.0	5.0	0.0	3.0	0.0	0.0	0.0	12.0	3.0	1.0	1.0	4.0	0.0	6.0	0.0	2.0	3.0	5.0	0.0	3.0	0.0	0.0	0.0	11.0	3.0	1.0	1.0	3.0	0.0	5.0
CALML5	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	3.0	0.0	7.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	3.0	0.0	6.0
CCDC122	0.0	2.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	4.0	0.0	18.0	0.0	2.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	4.0	0.0	16.0
CCDC137	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0
